profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,57687f32,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,150.0,149.945,degraded,-0.145462,0.7273,-0.145462,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,2,3e746676,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,130.0,130.182,degraded,-0.108336,0.5417,-0.108336,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,3,4776dea9,1,1,0,0,completed,success,True,co_edca,7,137.0,136.79,improved,0.116552,0.5828,0.116552,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,4,f1d13a8e,1,1,0,0,completed,success,True,co_sr,7,152.0,151.787,improved,0.14234,0.7117,0.14234,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_04.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,5,6f0be904,1,1,0,0,completed,max_retries_exceeded,False,co_edca,8,144.0,143.932,neutral,-0.004188,0.75,-0.004188,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_05.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,6,2333eecb,1,1,0,0,completed,max_retries_exceeded,False,co_edca,8,145.0,145.06,neutral,0.042282,0.75,0.042282,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_06.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_06.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,7,68e12da3,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,145.0,144.939,degraded,-0.150257,0.75,-0.150257,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_07.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_07.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,8,edef11e8,1,1,0,0,completed,success,True,co_sr,7,144.0,144.045,improved,0.061907,0.3095,0.061907,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_08.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_08.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,9,5f59e4d0,1,1,0,0,completed,max_retries_exceeded,False,co_sr,8,140.0,140.392,degraded,-0.140011,0.7001,-0.140011,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_09.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_09.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,off,none_memory-off,10,1be6797e,1,1,0,0,completed,success,True,co_sr,7,130.0,130.399,improved,0.076076,0.3804,0.076076,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-off.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_10.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-off/trial_10.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,1,29314dc3,1,1,0,0,completed,success,True,co_edca,8,77.0,77.048,improved,0.152647,0.75,0.152647,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,2,ae42f845,1,1,0,0,completed,success,True,co_edca,8,74.0,74.05,improved,0.290785,0.75,0.290785,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,3,dccff468,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,72.0,71.984,neutral,-0.01176,0.75,-0.01176,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,4,3bf34682,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,72.0,72.557,degraded,-0.168555,0.75,-0.168555,logs/experiments/final_tool_memory_highload_vi_10rep/db/none_memory-on.sqlite3,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_04.stdout.txt,logs/experiments/final_tool_memory_highload_vi_10rep/raw/none_memory-on/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
